account, text, date
"DracheOffiziell", "Leute Skript noch mal durchlesen an Emanuel (HeavyMetalManiacs) schicken und absegnen lassen dann gehts los mit dem dreh FU*K 8 1/2 seiten", "1440950918"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @ungespielt positiv bewertet: http://youtu.be/7hsqgSANRsY?a  Diamanten-Fieber! - Minecraft SkyPort #09 |", "1440954458"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @theclavinover positiv bewertet: http://youtu.be/h7gD6YR8dBQ?a  Afrika zu Besuch", "1440954578"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @glpupdate positiv bewertet: http://youtu.be/b-UD8tXFdqs?a  DIE SAW FALLE SCHLÄGT ZU! ☆ Minecraft: Smash", "1440955238"
"DracheOffiziell", "???? LIVE auf #YouNow - http://www.younow.com/DrachenLord_1510/65579185/12681330/1021/b", "1440961958"
"DracheOffiziell", "???? LIVE auf #YouNow - http://www.younow.com/DrachenLord_1510/65587852/12681330/1021/b", "1440964658"
"DracheOffiziell", "So Leute Heute sage ich was mit dem montags log ist im Stream https://www.younow.com/DrachenLord_1510", "1440965738"
"DracheOffiziell", "Ich habe ein @YouTube-Video positiv bewertet: http://youtu.be/XLgReqf2Ek0?a  DIE KRASSESTEN MENSCHEN DER WELT!", "1440968858"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @glpupdate positiv bewertet: http://youtu.be/RasEilNm6d0?a  AUSGETAUSCHTER PARTNER! ☆ Rocket League", "1440970598"
"DracheOffiziell", "und los https://www.younow.com/DrachenLord_1510/67091528/12681330/1021/b", "1441827660"
"DracheOffiziell", "???? LIVE tuba_neymar11 sendet auf #YouNow - https://www.younow.com/tuba_neymar11/67109917/12681330/jwNZrLpRuu/b", "1441840320"
"DracheOffiziell", "???? LIVE @Gmd_Babydave sendet auf #YouNow - https://www.younow.com/Gmd_Babydave/67114983/12681330/jwNZrLpSRQ/b", "1441846260"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @ungespielt positiv bewertet: http://youtu.be/RV6xZ9JRHFc?a  ALLE GEGEN UNS! Minecraft BEDWARS - Minecraft", "1441900560"
"DracheOffiziell", "So in etwa 20 mins kommt ein stream nur schnell router neu starten :) 10,000 abo spezial habe ich gerade gedeht", "1441904940"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @nchinh12 positiv bewertet: http://youtu.be/q3bUJJWVB5c?a  studio ghibli Top Soundtrack CD1", "1441904950"
"DracheOffiziell", "Klasick Rock und Metal https://www.younow.com/DrachenLord_1510/67203481/12681330/1021/b", "1441905360"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @all_4_one positiv bewertet: http://youtu.be/25rL-ooWICU?a  All-4-One - I Swear", "1441911960"
"DracheOffiziell", "Ich habe ein @YouTube-Video positiv bewertet: http://youtu.be/ZSS5dEeMX64?a  Mulan - i'll make a man out of you", "1441912860"
"DracheOffiziell", "Ich habe ein @YouTube-Video positiv bewertet: http://youtu.be/1bRq-GLF2M0?a  Schock~Weiss wie Schnee", "1441915440"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @ungespielt positiv bewertet: http://youtu.be/NkGWTFZYCYQ?a  Geilster Part EVER *Hust*! - Minecraft SkyPort", "1441920060"
"DracheOffiziell", "Ich habe ein @YouTube-Video positiv bewertet: http://youtu.be/xnH7cplnnlM?a  13 Fakten über mich - Gothic Vlog 1", "1441927320"
"DracheOffiziell", "Frisch geduscht https://instagram.com/p/7fd3Fbnbah/ ", "1441977360"
"DracheOffiziell", "Entlich mal wieder #Diablo3 Spielen", "1441987260"
"DracheOffiziell", "Top 5 Folge 3 Gothic Leute: http://youtu.be/PA9ukWQqQNQ?a  über @YouTube", "1442002680"
"DracheOffiziell", "???? LIVE auf #YouNow - https://www.younow.com/DrachenLord_1510/67382206/12681330/1021/b", "1442009880"
"DracheOffiziell", "???? LIVE @Braui1993 sendet auf #YouNow - Immer noch Zusammen On Kommt mal dazu https://www.younow.com/Braui.93/67408524/12681330/jwNZrLqC7O/b", "1442021820"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @mrtrashpack positiv bewertet: http://youtu.be/x4Pgfqq400c?a  TC fast vom Löwen gefressen? - Angst vor", "1442055120"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @ungespielt positiv bewertet: http://youtu.be/aOPlNIIQn5c?a  Unsere kleine Farm! - Minecraft SkyPort #21 |", "1442056740"
"DracheOffiziell", "???? LIVE Maggy----- sendet auf #YouNow - Krass https://www.younow.com/Maggy-----/67846319/12681330/jwNZrLrAp3/b", "1442251320"
"DracheOffiziell", "???? LIVE auf #YouNow - https://www.younow.com/DrachenLord_1510/67851242/12681330/1021/b", "1442252280"
"DracheOffiziell", "ab gehts https://www.younow.com/DrachenLord_1510/67877762/12681330/1021/b", "1442263140"
"DracheOffiziell", "???? LIVE auf #YouNow - https://www.younow.com/DrachenLord_1510/67880513/12681330/1021/b", "1442264160"
"DracheOffiziell", "Gut Leute wieder alleine Soll ich nich ein stündchen oder so streamen ?", "1442281560"
"DracheOffiziell", "???? LIVE auf #YouNow - https://www.younow.com/DrachenLord_1510/67924177/12681330/1021/b", "1442282220"
"DracheOffiziell", "Nachdem mal wieder ein paar arme würstchen die nichts ausser ihren hass haben mich geddost gute Nacht Ich hoffe ihr werdet glücklich Liebe<3", "1442288220"
"DracheOffiziell", "ich Finde es schade das manche menschen sich nur durch Hass gegenüber anderen Äußern können Echt erbärmlich hoffe ihr bekommt bald hilfe", "1442288340"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @lookslikelink positiv bewertet: http://youtu.be/BBFJjgyX_A0?a  Let's Play Zelda Ocarina of Time 3D", "1442289780"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @lefloid positiv bewertet: http://youtu.be/s0_FyfQefrw?a  Pokemon werden real // Deutschland schließt die", "1442316780"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @bergmanntogo positiv bewertet: http://youtu.be/yFcOToiT1I4?a  Lebendig begraben ★ Die INSEL | #08", "1442328840"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @bergmanntogo positiv bewertet: http://youtu.be/78SKkh5qI1Q?a  Das Erwachen ★ Die INSEL | #07", "1442328900"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @lookslikelink positiv bewertet: http://youtu.be/ErRFpv5YRyc?a  Let's Play Super Mario Maker", "1442329260"
"DracheOffiziell", "???? LIVE auf #YouNow - https://www.younow.com/DrachenLord_1510/67978930/12681330/1021/b", "1442332320"
"DracheOffiziell", "ok leute weil wieder nicht alleine und paar sachen klährenmuss heute kein steam mehr dafür morgen 3 stunden", "1442344080"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @lookslikelink positiv bewertet: http://youtu.be/KNGKVvmZbxs?a  Let's Play Zelda Ocarina of Time 3D", "1442348280"
"DracheOffiziell", "Ich habe ein @YouTube-Video positiv bewertet: http://youtu.be/oJ15OtK6CX4?a  Hoffnung für das neue Zelda! (Wii U) - GIGA GAMES", "1442350800"
"DracheOffiziell", "???? LIVE @Gmd_Babydave sendet auf #YouNow - GMD Geht wieder ab https://www.younow.com/Gmd_Babydave/68023861/12681330/jwNZrLsbRP/b", "1442357460"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @glpupdate positiv bewertet: http://youtu.be/LqGrUUrSUJg?a  ARMER TIMMY :(( ☆ Happy Wheels", "1442361240"
"DracheOffiziell", "Ich habe ein @YouTube-Video von @bergmanntogo positiv bewertet: http://youtu.be/KCqSwvQd6ts?a  4 WÜRMER für den SPIELEMEISTER!", "1442454720"
"DracheOffiziell", "Leute ich weiß nicht ob um die zeit jemand on ist aber ich will ne runde bedwars aufnehmen jemand lust ?", "1442458080"
"DracheOffiziell", "Magst du Füße? — Naja was heißt mögen ich sehe sie als notwendig wie könnte ich mir sonst ein bier aus dem külschrn… http://l.ask.fm/igoto/45DKECN75V62DDAUPY6IQO6H5WED5JI7RTPOXGVUJ677JIUUYESMWLAWPILZIXDDBH3LWQ2DLRWDSUCQQZ3LAIPYGC77LTRBUUMCVESSC5YDKI5ND2FDGOPWSS23XTTCTSLYCFQS2DGH7SMWIKKAETLPW3MGZ7FCYLMVP73FQSS36M6PAZZHXV7K3NMKP2OOYN6IYIC2UNE7XETWDU4FEH6AGDEA====", "1442460960"
"DracheOffiziell", "Leute ich heiß das es euch gerade nerft das ich nicht reagiere. Watet ein paar tage dan sage ich warum ich es machen muss", "1442767860"
"DracheOffiziell", "Ich kann gerade nur über meine Wii Online sein. Und vergest nicht egal was die hater wieder behaupten ist warscheinlich gelogen wie immer :)", "1442768220"
"DracheOffiziell", "Ich hoffe ich kann ab Spät.. Mittwoch wieder alles gewohnt machen. Ein tweet kommt noch...", "1442768340"
"DracheOffiziell", "Es Tut Mir echt Leid wie es Läuft. Glaubt mir ich bin bestimmt 10 mal so sauer wie ihr (Mit Recht)", "1442768400"
"DracheOffiziell", "Leute es ist alles ok bei mir. Es hat zwar wirklich was mit der Polizei zu tun aber ich werde Laut als Zeuge und Opfer benannt", "1442769360"
"DracheOffiziell", "Sorry Leute das Mit dem PC und der Polizei wird noch etwas dauern ich bemühe mich nach einer alternative bis dahin.", "1442942700"
"DracheOffiziell", "Alledings wird das nicht einfach den ich breuchte einen PC eine Kamera und wen möglich ein handy leiweise. aber geld zum ausleiden ", "1442942760"
"DracheOffiziell", "Dabei wollte ich diese woche mit 4Drachen Beginnen jetzt kann ich nicht mal Drehen :( Ich hoffe ihr habt ne schönere woche als ich", "1442942820"
"DracheOffiziell", "Drachige Grüße an alle meine Zuschauer und Fans Wünsche euch ne schöne woche euer Drache", "1442942880"
"DracheOffiziell", "bin jetzt dann gleich wieder off aber ein freund meinte das ich morgen vielleicht ein video mit seiner kam machen kann dann erfahrt ihrmehr", "1442943240"
